codigo,concepto,seccion,costo_base,plantel,costo_plantel,activo_plantel,notas
EEXTR,EXAMEN EXTRAORDINARIO LIC,EXAMENES,3976,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTBACHG,EXAMEN EXTRAORDINARIO BACH,EXAMENES,1510,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTBACHOL,EXAMEN EXTRAORDINARIO BACH OL,EXAMENES,945,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EXGLOB,EXAMEN GLOBAL*,EXAMENES,3976,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ETSOL,EXAMEN A TÍTULO DE SUFICIENCIA OL,EXAMENES,6385,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EXAEGRESO,EXAMEN DE EGRESO,EXAMENES,7350,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TTL,TRÁMITE DE TÍTULO (LICENCIATURA),TRAMITES,13870,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TGDE,TRÁMITE DE GRADO Y DIPLOMA (ESPECIALIDAD),TRAMITES,13450,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TGDM,TRÁMITE DE GRADO Y DIPLOMA (MAESTRÍA),TRAMITES,29005,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PTCGAD,"PROCESO DE TITULACIÓN, CERTIFICADO Y GRADO ACADÉMICO (DOCTORADO)",TRAMITES,38670,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIBACH,CERTIFICADO ÍNTEGRO BACHILLERATO,TRAMITES,3520,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CILIC,CERTIFICADO ÍNTEGRO LICENCIATURA,TRAMITES,3520,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIESP,CERTIFICADO ÍNTEGRO ESPECIALIDAD,TRAMITES,3520,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIMAE,CERTIFICADO ÍNTEGRO MAESTRÍA,TRAMITES,3865,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIDOC,CERTIFICADO ÍNTEGRO DOCTORADO,TRAMITES,5985,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CINTSU,CERTIFICADO ÍNTEGRO TSU,TRAMITES,3360,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPBACH,CERTIFICADO PARCIAL BACHILLERATO,TRAMITES,2355,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPLIC,CERTIFICADO PARCIAL LICENCIATURA,TRAMITES,2770,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPESP,CERTIFICADO PARCIAL ESPECIALIDAD,TRAMITES,1765,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPMAE,CERTIFICADO PARCIAL MAESTRÍA,TRAMITES,2775,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPDOC,CERTIFICADO PARCIAL DOCTORADO,TRAMITES,3865,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPTSU,CERTIFICADO PARCIAL TSU,TRAMITES,1005,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
REFISTITS,REPRESENTACIÓN FÍSICA DE TÍTULO SIMBÓLICO,TRAMITES,2775,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
DIGTITULO,DIGITALIZACIÓN DE TÍTULO,TRAMITES,1530,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CERTITULO,CERTIFICACIÓN DE TÍTULO,TRAMITES,2545,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CMPGPTMOD,"CAMBIO DE PROGRAMA, PLANTEL O MODALIDAD",DIVERSOS,560,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
DEFORCLSP,DERECHO DE FORMACIÓN CLÍNICA SUPERVISADA POR MATERIA,DIVERSOS,550,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ASETES,ASESORÍA DE TESIS O TESINA,DIVERSOS,7650,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CSSIP,CARTA DE SERVICIO SOCIAL O DE INICIACIÓN A PRÁCTICAS,DIVERSOS,660,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CTI,CONSTANCIA TERMINACIÓN INGLÉS,DIVERSOS,935,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CONS,CONSTANCIA,DIVERSOS,290,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CRE,CREDENCIAL,DIVERSOS,210,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
KAR,KÁRDEX,DIVERSOS,465,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PASBACH,PASANTÍAS BACHILLERATO,DIVERSOS,3520,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
RGD,"REPOSICIÓN DE GRADO Y DIPLOMA (MAESTRÍA, ESPECIALIDAD Y DOCTORADO)",DIVERSOS,13285,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
RTLIC,REPOSICIÓN DE TÍTULO (LICENCIATURA),DIVERSOS,11385,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
SCDM,SERVICIO DE CARTAS DESCRIPTIVAS POR MATERIA,DIVERSOS,660,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPBACH,TRÁMITES SEP BACH,DIVERSOS,620,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPBAOL,TRÁMITES SEP BACH OL,DIVERSOS,620,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLICT,TRÁMITES SEP LIC,DIVERSOS,610,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLIOL,TRÁMITES SEP LIC OL,DIVERSOS,590,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLIEJ,TRÁMITES SEP LIC EJ,DIVERSOS,590,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPCISA,TRÁMITES SEP CS,DIVERSOS,610,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPPOSG,TRÁMITES SEP POS,DIVERSOS,850,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PPE,PLAN DE PROTECCIÓN ESTUDIANTIL,DIVERSOS,300,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ENVDOC,ENVÍO DE DOCUMENTOS,DIVERSOS,695,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
BJT,BAJA TOTAL,DIVERSOS,1200,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
REC,RECARGOS,DIVERSOS,410,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CREX,CARGO POR INSCRIPCIÓN EXTEMPORÁNEA,DIVERSOS,410,Agua Prieta,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTR,EXAMEN EXTRAORDINARIO LIC,EXAMENES,3976,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTBACHG,EXAMEN EXTRAORDINARIO BACH,EXAMENES,1510,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTBACHOL,EXAMEN EXTRAORDINARIO BACH OL,EXAMENES,945,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EXGLOB,EXAMEN GLOBAL*,EXAMENES,3976,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ETSOL,EXAMEN A TÍTULO DE SUFICIENCIA OL,EXAMENES,6385,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EXAEGRESO,EXAMEN DE EGRESO,EXAMENES,7350,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TTL,TRÁMITE DE TÍTULO (LICENCIATURA),TRAMITES,13870,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TGDE,TRÁMITE DE GRADO Y DIPLOMA (ESPECIALIDAD),TRAMITES,13450,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TGDM,TRÁMITE DE GRADO Y DIPLOMA (MAESTRÍA),TRAMITES,29005,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PTCGAD,"PROCESO DE TITULACIÓN, CERTIFICADO Y GRADO ACADÉMICO (DOCTORADO)",TRAMITES,38670,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIBACH,CERTIFICADO ÍNTEGRO BACHILLERATO,TRAMITES,3520,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CILIC,CERTIFICADO ÍNTEGRO LICENCIATURA,TRAMITES,3520,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIESP,CERTIFICADO ÍNTEGRO ESPECIALIDAD,TRAMITES,3520,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIMAE,CERTIFICADO ÍNTEGRO MAESTRÍA,TRAMITES,3865,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIDOC,CERTIFICADO ÍNTEGRO DOCTORADO,TRAMITES,5985,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CINTSU,CERTIFICADO ÍNTEGRO TSU,TRAMITES,3360,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPBACH,CERTIFICADO PARCIAL BACHILLERATO,TRAMITES,2355,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPLIC,CERTIFICADO PARCIAL LICENCIATURA,TRAMITES,2770,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPESP,CERTIFICADO PARCIAL ESPECIALIDAD,TRAMITES,1765,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPMAE,CERTIFICADO PARCIAL MAESTRÍA,TRAMITES,2775,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPDOC,CERTIFICADO PARCIAL DOCTORADO,TRAMITES,3865,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPTSU,CERTIFICADO PARCIAL TSU,TRAMITES,1005,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
REFISTITS,REPRESENTACIÓN FÍSICA DE TÍTULO SIMBÓLICO,TRAMITES,2775,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
DIGTITULO,DIGITALIZACIÓN DE TÍTULO,TRAMITES,1530,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CERTITULO,CERTIFICACIÓN DE TÍTULO,TRAMITES,2545,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CMPGPTMOD,"CAMBIO DE PROGRAMA, PLANTEL O MODALIDAD",DIVERSOS,560,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
DEFORCLSP,DERECHO DE FORMACIÓN CLÍNICA SUPERVISADA POR MATERIA,DIVERSOS,550,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ASETES,ASESORÍA DE TESIS O TESINA,DIVERSOS,7650,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CSSIP,CARTA DE SERVICIO SOCIAL O DE INICIACIÓN A PRÁCTICAS,DIVERSOS,660,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CTI,CONSTANCIA TERMINACIÓN INGLÉS,DIVERSOS,935,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CONS,CONSTANCIA,DIVERSOS,290,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CRE,CREDENCIAL,DIVERSOS,210,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
KAR,KÁRDEX,DIVERSOS,465,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PASBACH,PASANTÍAS BACHILLERATO,DIVERSOS,3520,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
RGD,"REPOSICIÓN DE GRADO Y DIPLOMA (MAESTRÍA, ESPECIALIDAD Y DOCTORADO)",DIVERSOS,13285,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
RTLIC,REPOSICIÓN DE TÍTULO (LICENCIATURA),DIVERSOS,11385,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
SCDM,SERVICIO DE CARTAS DESCRIPTIVAS POR MATERIA,DIVERSOS,660,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPBACH,TRÁMITES SEP BACH,DIVERSOS,620,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPBAOL,TRÁMITES SEP BACH OL,DIVERSOS,620,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLICT,TRÁMITES SEP LIC,DIVERSOS,610,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLIOL,TRÁMITES SEP LIC OL,DIVERSOS,590,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLIEJ,TRÁMITES SEP LIC EJ,DIVERSOS,590,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPCISA,TRÁMITES SEP CS,DIVERSOS,610,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPPOSG,TRÁMITES SEP POS,DIVERSOS,850,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PPE,PLAN DE PROTECCIÓN ESTUDIANTIL,DIVERSOS,300,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ENVDOC,ENVÍO DE DOCUMENTOS,DIVERSOS,695,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
BJT,BAJA TOTAL,DIVERSOS,1200,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
REC,RECARGOS,DIVERSOS,410,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CREX,CARGO POR INSCRIPCIÓN EXTEMPORÁNEA,DIVERSOS,410,Aguascalientes,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTR,EXAMEN EXTRAORDINARIO LIC,EXAMENES,3976,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTBACHG,EXAMEN EXTRAORDINARIO BACH,EXAMENES,1510,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EEXTBACHOL,EXAMEN EXTRAORDINARIO BACH OL,EXAMENES,945,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EXGLOB,EXAMEN GLOBAL*,EXAMENES,3976,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ETSOL,EXAMEN A TÍTULO DE SUFICIENCIA OL,EXAMENES,6385,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
EXAEGRESO,EXAMEN DE EGRESO,EXAMENES,7350,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TTL,TRÁMITE DE TÍTULO (LICENCIATURA),TRAMITES,13870,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TGDE,TRÁMITE DE GRADO Y DIPLOMA (ESPECIALIDAD),TRAMITES,13450,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TGDM,TRÁMITE DE GRADO Y DIPLOMA (MAESTRÍA),TRAMITES,29005,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PTCGAD,"PROCESO DE TITULACIÓN, CERTIFICADO Y GRADO ACADÉMICO (DOCTORADO)",TRAMITES,38670,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIBACH,CERTIFICADO ÍNTEGRO BACHILLERATO,TRAMITES,3520,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CILIC,CERTIFICADO ÍNTEGRO LICENCIATURA,TRAMITES,3520,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIESP,CERTIFICADO ÍNTEGRO ESPECIALIDAD,TRAMITES,3520,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIMAE,CERTIFICADO ÍNTEGRO MAESTRÍA,TRAMITES,3865,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CIDOC,CERTIFICADO ÍNTEGRO DOCTORADO,TRAMITES,5985,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CINTSU,CERTIFICADO ÍNTEGRO TSU,TRAMITES,3360,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPBACH,CERTIFICADO PARCIAL BACHILLERATO,TRAMITES,2355,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPLIC,CERTIFICADO PARCIAL LICENCIATURA,TRAMITES,2770,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPESP,CERTIFICADO PARCIAL ESPECIALIDAD,TRAMITES,1765,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPMAE,CERTIFICADO PARCIAL MAESTRÍA,TRAMITES,2775,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPDOC,CERTIFICADO PARCIAL DOCTORADO,TRAMITES,3865,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CPTSU,CERTIFICADO PARCIAL TSU,TRAMITES,1005,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
REFISTITS,REPRESENTACIÓN FÍSICA DE TÍTULO SIMBÓLICO,TRAMITES,2775,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
DIGTITULO,DIGITALIZACIÓN DE TÍTULO,TRAMITES,1530,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CERTITULO,CERTIFICACIÓN DE TÍTULO,TRAMITES,2545,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CMPGPTMOD,"CAMBIO DE PROGRAMA, PLANTEL O MODALIDAD",DIVERSOS,560,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
DEFORCLSP,DERECHO DE FORMACIÓN CLÍNICA SUPERVISADA POR MATERIA,DIVERSOS,550,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ASETES,ASESORÍA DE TESIS O TESINA,DIVERSOS,7650,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CSSIP,CARTA DE SERVICIO SOCIAL O DE INICIACIÓN A PRÁCTICAS,DIVERSOS,660,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CTI,CONSTANCIA TERMINACIÓN INGLÉS,DIVERSOS,935,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CONS,CONSTANCIA,DIVERSOS,290,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
CRE,CREDENCIAL,DIVERSOS,210,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
KAR,KÁRDEX,DIVERSOS,465,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PASBACH,PASANTÍAS BACHILLERATO,DIVERSOS,3520,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
RGD,"REPOSICIÓN DE GRADO Y DIPLOMA (MAESTRÍA, ESPECIALIDAD Y DOCTORADO)",DIVERSOS,13285,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
RTLIC,REPOSICIÓN DE TÍTULO (LICENCIATURA),DIVERSOS,11385,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
SCDM,SERVICIO DE CARTAS DESCRIPTIVAS POR MATERIA,DIVERSOS,660,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPBACH,TRÁMITES SEP BACH,DIVERSOS,620,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPBAOL,TRÁMITES SEP BACH OL,DIVERSOS,620,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLICT,TRÁMITES SEP LIC,DIVERSOS,610,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLIOL,TRÁMITES SEP LIC OL,DIVERSOS,590,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPLIEJ,TRÁMITES SEP LIC EJ,DIVERSOS,590,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPCISA,TRÁMITES SEP CS,DIVERSOS,610,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
TMTSEPPOSG,TRÁMITES SEP POS,DIVERSOS,850,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
PPE,PLAN DE PROTECCIÓN ESTUDIANTIL,DIVERSOS,300,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
ENVDOC,ENVÍO DE DOCUMENTOS,DIVERSOS,695,Altamira,,true,Boletín de cuotas 2026-3; vigencia 18/05/2026–30/08/2026; costo común en los 25 boletines.
